Review,Rating
"Produk Ok, pengiriman relatif cepat, dan respon penjual baik",bintang 5
"modelnya pas, keren, bahannya bagus, sdh bbrp kali beli..puas",bintang 5
saya sangat puas banget pengen beli lagi asli,bintang 5
"Barang datang sesuai deskripsi,pembelian kedua, tetap memutuskan,packing rapi dan aman, seller ramah dan responsif, pengiriman standar, terimakasih,Salam sukses dari Kara...",bintang 5
"barang sesuai , kualitas bagus buatan Indonesia , empuk kuat , ukuran pas , model keren ..",bintang 5
"Respon admin cepat, kualitas bagus, bahan enak empuk, kokoh, original product, nyamaan di kaki, sesuai poto, mantap recommended pokonya.",bintang 5
sandalnya oke dan nyaman dipakai jalan. bisa dipaskan dikaki bila perlu. semoga awet.,bintang 5
product baik sekali dipakai injak pas klop. tidak licin dlm segala cuaca.dan tidak ngerem ngerem jika jalan.,bintang 5
"proses dan pengiriman lama sampainya. pengepakan biasa, barang diterima dlm kondisi baik. sandal dan ukurannya sesuai pesanan. dipakai terasa nyaman. kualitas lumayan.",bintang 4
"barang sesuai dengan deskripsi, kualitas bagus, tapi pengiriman agak delay",bintang 5
"Barang diterima sesuai jadwal dalam keadaan baik, kualitas barang sesuai diskripsi ukuran sesuai di kaki dan nyaman dipakai serta ringan, belanja sudah yg ke 2 tidak meng...",bintang 5
"Nyaman banget ternyata, bisa dipakai hiking juga, sendalnya bagus, empuk dan yang terpenting MURAH, puas bngt sm pembeliannya, makasih

note: ukurannya akan kerasa lebih...",bintang 5
"Dapet harga flash sale 35rb, harga segini sih oke banget diatas ekspektasi. Kualitas karet oke, lentur tapi kuat. Gak ada komplain. Ukuran saya 42, cari aman beli 43, eh...",bintang 5
"Seller fast respons, barang perfetto..ukuran pas dan ringan dipakai, pengiriman lumayan cepet ke Bandung (gratisan ongkir 🤭)..puas bgt 💯✅

Terimakasih seller dan tokope...",bintang 5
"pengiriman cepat n pengemasan ok...
produk ori,n pas ukuran nya
nyaman dipakai👍👍",bintang 5
"Sumpah pengiriman cepet bnr pdhl regular, pesen ga sampe 1 hari. Pernah pake croc asli dan yg palsu karetnya bikin sakit kaki yg croc palsu, pertama kali ini beli porto,...",bintang 5
Pas dan nyaman. anti selip jg . sdh 3 tahun pake Porto.,bintang 5
"alhamdulillah bagus, no.42 cukup untuk panjang kaki 26,5cm pas..kalau kena basah2 no worries, bisa disetel lingkarnya",bintang 5
